
=== 涨幅榜前20名股票 ===

     股票代码                       公司名称  市值(亿)                            板块                           昨天收盘                           今天收盘  涨跌幅(%)
     股票代码                             公司名称  市值(亿)                              板块                       昨天收盘                       今天收盘  涨跌幅(%)
2158    BABAF            Alibaba Group Holding Ltd   2024.65                            Retail  2025-01-23 10.612000465393066  2025-01-24 11.350000381469727       6.95
3904      NEE                   Nextera Energy Inc   1497.68                         Utilities    2025-01-23 69.2300033569336   2025-01-24 72.83000183105469       5.20
4178      LLY                     Eli Lilly and Co   7456.02                   Pharmaceuticals   2025-01-23 766.5999755859375   2025-01-24 785.4099731445312       2.45
978     LVMHF  LVMH Moet Hennessy Louis Vuitton SE   3601.16  Textiles, Apparel & Luxury Goods   2025-01-23 753.6799926757812               2025-01-24 772.0       2.43
4205    EADSF                            Airbus SE   1319.12               Aerospace & Defense   2025-01-23 171.3300018310547              2025-01-24 175.25       2.29
1219     CHTR           Charter Communications Inc   1044.46                             Media   2025-01-23 359.9599914550781   2025-01-24 367.5799865722656       2.12
2818    EVGGF                  Evolution AB (publ)   1763.30     Hotels, Restaurants & Leisure   2025-01-23 75.95999908447266   2025-01-24 77.55999755859375       2.11
3881    LRLCF                           L'Oreal SA   1883.77                 Consumer products               2025-01-23 360.5               2025-01-24 368.0       2.08
1380     AVGO                         Broadcom Inc  11469.96                    Semiconductors  2025-01-23 240.27999877929688   2025-01-24 244.6999969482422       1.84
4112     SPOT                Spotify Technology SA   1000.41                             Media               2025-01-23 501.5  2025-01-24 510.42999267578125       1.78
2784     META                   Meta Platforms Inc  16345.81                             Media   2025-01-23 636.4500122070312    2025-01-24 647.489990234375       1.73
3470    EPIAF                            Epiroc AB   2488.96                         Machinery  2025-01-23 19.356000900268555  2025-01-24 19.676000595092773       1.65
3324    ESLOF                  EssilorLuxottica SA   1161.30                       Health Care   2025-01-23 261.9599914550781   2025-01-24 265.9800109863281       1.53
3196     SHOP                          Shopify Inc   1391.33                        Technology   2025-01-23 106.0999984741211  2025-01-24 107.68000030517578       1.49
2753       PM      Philip Morris International Inc   1978.99                           Tobacco  2025-01-23 125.43000030517578  2025-01-24 127.27999877929688       1.47
1947     TMUS                      T-Mobile US Inc   2536.48                 Telecommunication   2025-01-23 216.0399932861328  2025-01-24 218.57000732421875       1.17
661      GOOG                         Alphabet Inc  24597.25                             Media   2025-01-23 199.5800018310547  2025-01-24 201.89999389648438       1.16
2981       FI                           Fiserv Inc   1188.13                Financial Services  2025-01-23 206.49000549316406  2025-01-24 208.83999633789062       1.14
4214    GOOGL                         Alphabet Inc  24597.25                             Media  2025-01-23 197.97999572753906   2025-01-24 200.2100067138672       1.13
795       MDT                        Medtronic PLC   1156.49                       Health Care               2025-01-23 89.25   2025-01-24 90.19000244140625       1.05
